k_n,k_f,omega,raw_js,cosine,spearman,jaccard,pair_class,sample,n_a,n_b
0.002909938842591055,0.060082266467339496,20.647260893579915,0.006447433772179708,0.11772825416252286,0.23497533589334985,0.6254295532646048,functional,10X175_7,779.0,27.0
0.004237603110719036,0.07352730479506969,17.351154148693645,0.007658764319618037,0.14029644335054992,0.2625264947049021,0.6486486486486487,functional,10X175_8,772.0,25.0
0.0017911560176543208,0.04791133022099921,26.748831340635185,0.004616221305012276,0.09439706064362785,0.16999572378936134,0.5765124555160142,functional,10X176_5,933.0,99.0
0.001621363090200496,0.048424484521573545,29.866527006967594,0.004616542658377316,0.09275486707180425,0.17001352483462762,0.5714285714285714,functional,10X176_6,957.0,94.0
0.004074776197927135,0.043513295008513315,10.678695686562813,0.004946672779918601,0.10855062523408066,0.1806942235147989,0.555956678700361,functional,10X191_1,71.0,32.0
0.005042471098876424,0.04971837208483534,9.85992207192099,0.005763566861949003,0.12206543645197554,0.19208228575924657,0.5765124555160142,functional,10X191_2,71.0,24.0
0.0031551983682518723,0.0658590617519348,20.873192130998664,0.006886844726997632,0.13774034976709948,0.267705339299915,0.6348122866894198,functional,10X194_7,1005.0,26.0
0.0029993262822740454,0.057465387630720094,19.159431893201923,0.006078075544757631,0.12648605633109367,0.26203183014147546,0.5964912280701755,functional,10X194_8,1002.0,31.0
0.003312503917639033,0.08847543715498093,26.709534344654077,0.009419710437631335,0.13436091417568008,0.2579324181581104,0.6710963455149501,functional,10X219_1,741.0,23.0
0.00446085748369301,0.09487505491043524,21.26834476493767,0.009656928811578192,0.13558926109632163,0.2623218923978885,0.6666666666666667,functional,10X219_2,778.0,20.0
0.002089976956030079,0.05745809893152405,27.4922164886765,0.0059314371829100486,0.1023537977066622,0.1348495983649034,0.5865724381625441,functional,10X219_5,133.0,120.0
0.0019386430495318585,0.05553697575576941,28.647344733823186,0.005991068450729865,0.10085720265184739,0.13294335967989246,0.5401459854014599,functional,10X219_6,137.0,118.0
